Application Number,Publication number,Title,Status,Country,Grant Date,Expiration date,size_family,number_citations,score
US10102568,US20020140615,Multilevel antennas,Inactive-Abandoned,United States,,2005-10-07 00:00:00,488,588,2.7985419444226594
EP05000379,EP1526604,Multilevel antennas,Inactive-Withdrawn,European Patent,,2008-10-01 00:00:00,583,586,2.9876120827124675
EP05000379,DE29925006,Multilevel antennas,Inactive-Expired,Germany,2008-04-03 00:00:00,2009-09-20 00:00:00,586,586,3.20204297702141
EP08164491,EP2083475,Multilevel antennas,Inactive-Withdrawn,European Patent,,2011-06-10 00:00:00,583,586,2.9876120827124675
US13669916,US20130057450,Multilevel antennas,Inactive-Abandoned,United States,,2013-04-04 00:00:00,586,586,2.993709643688077
EP19990974041,26708BE2005,Multilevel antennas,Inactive-Abandoned,Italy,30/03/2005,2013-09-20 00:00:00,0,0,0.625
IN41KOL2007,,Multilevel antennas,Inactive-Abandoned,India,,2014-03-13 00:00:00,0,0,0.625
RU2002110442,RU2002110442,Multilevel antennas,Inactive-Abandoned,Russia,2005-06-10 00:00:00,2014-03-20 00:00:00,0,0,0.625
US11102390,US20050259009,Multilevel antennas,Inactive-Abandoned,United States,17/10/2006,2018-10-17 00:00:00,487,586,2.792490131492955
EP10185339,EP2273610,Multilevel antennas,Inactive-Withdrawn,European Patent,,2018-11-09 00:00:00,0,5,0.635048231511254
PI99174936,PI99174936,Multilevel antennas,Inactive-Abandoned,Brazil,18/09/2012,2019-06-20 00:00:00,0,0,0.8333333333333333
US16035981,US20180323500,Multilevel antennas,Inactive-Abandoned,United States,,2019-07-16 00:00:00,586,586,3.20204297702141
US12400888,US20090167625,Multilevel antennas,Inactive-Abandoned,United States,30/08/2011,2019-08-30 00:00:00,489,588,3.0089077980811965
EP19990974041,EP1223637,Multilevel antennas,Inactive-Expired,Great Britain,30/03/2005,2019-09-19 00:00:00,586,586,3.4103763103547435
CN99816960,CN1379921,Multilevel antennas,Inactive-Expired,China P.R.,2007-12-12 00:00:00,2019-09-20 00:00:00,586,586,3.4103763103547435
CN200710185111,CN101188325,Multilevel antennas,Inactive-Expired,China P.R.,2013-06-05 00:00:00,2019-09-20 00:00:00,586,586,3.4103763103547435
INPCT200200480,,Multilevel antennas,Inactive-Expired,India,16/03/2007,2019-09-20 00:00:00,0,0,1.0416666666666665
US15137782,US20160240914,Multilevel antennas,Inactive-Expired,United States,2017-09-12 00:00:00,2019-09-20 00:00:00,581,586,3.400213708728727
US15670866,US20170358853,Multilevel antennas,Inactive-Expired,United States,2018-08-21 00:00:00,2019-09-20 00:00:00,580,586,3.398181188403524
EP19990974041,EP1223637,Multilevel antennas,Inactive-Validated,European Patent,2005-03-30 00:00:00,2019-09-20 00:00:00,586,586,3.618709643688077
US13732761,US20130194154,Multilevel antennas,Inactive-Expired,United States,2015-06-09 00:00:00,2020-01-29 00:00:00,580,586,3.606514521736858
US11550276,US20070194992,Multilevel antennas,Inactive-Expired,United States,17/03/2009,13/03/2020,511,587,3.4682802656000837
US13732743,US20130194152,Multilevel antennas,Inactive-Expired,United States,2015-03-10 00:00:00,14/02/2020,580,586,3.606514521736858
US13929441,US20130285859,Multilevel antennas,Inactive-Expired,United States,2016-01-19 00:00:00,14/03/2020,581,586,3.6085470420620607
US13732755,US20130194153,Multilevel antennas,Inactive-Expired,United States,27/01/2015,18/03/2020,581,586,3.6085470420620607
EP19990974041,EP1223637,Multilevel antennas,Inactive-Expired,France,30/03/2005,20/09/2019,586,586,3.4103763103547435
EP19990974041,DE69924535,Multilevel antennas,Inactive-Expired,Germany,2005-03-30 00:00:00,20/09/2019,586,586,3.4103763103547435
JP2001525799,JP2003510871T,Multilevel antennas,Inactive-Expired,Japan,14/09/2007,20/09/2019,0,0,1.0416666666666665
JP2007136626,JP2007251995,Multilevel antennas,Inactive-Expired,Japan,2008-10-03 00:00:00,20/09/2019,0,0,1.0416666666666665
PAA2002003084,MX224686,Multilevel antennas,Inactive-Expired,Mexico,2004-12-06 00:00:00,20/09/2019,0,0,1.0416666666666665
EP19990974041,ES2241378,Multilevel antennas,Inactive-Expired,Spain,2005-03-30 00:00:00,20/09/2019,586,586,3.4103763103547435
US10963080,US20050110688,Multilevel antennas,Inactive-Expired,United States,21/03/2006,20/09/2019,488,587,3.2131989647870753
US11550256,US20070279289,Multilevel antennas,Inactive-Expired,United States,2008-07-01 00:00:00,20/09/2019,571,586,3.3798885054766945
US11179257,US20060290573,Multilevel antennas,Inactive-Expired,United States,2008-07-08 00:00:00,20/09/2019,488,587,3.2131989647870753
US11780932,US20080042909,Multilevel antennas,Inactive-Expired,United States,2009-05-05 00:00:00,20/09/2019,500,587,3.2375892086895144
US13036819,US20110175777,Multilevel antennas,Inactive-Expired,United States,2012-04-10 00:00:00,20/09/2019,487,587,3.211166444461872
US13044189,US20110163923,Multilevel antennas,Inactive-Expired,United States,2012-04-10 00:00:00,20/09/2019,487,587,3.211166444461872
US13411212,US20120154244,Multilevel antennas,Inactive-Expired,United States,2012-12-11 00:00:00,20/09/2019,586,586,3.4103763103547435
